Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Age,Gender,Segment,Region,State,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-100000,2023-02-28,2023-03-06,CUST-6510,Manish Kapoor,24.0,Male,Corporate,South,Telangana,Office Supplies,Art,Marker Set,84.2,4,0.2,10.32
ORD-100001,2024-12-01,2024-12-08,CUST-6419,Priya Singh,18.0,Female,Consumer,North,Delhi,Furniture,Tables,Oak Dining Table,1737.02,6,0.1,228.69
ORD-100002,2024-03-31,2024-04-01,CUST-5537,Anita Mehta,47.0,Female,Corporate,West,Maharashtra,Furniture,Furnishings,Table Lamp,504.36,4,0.0,150.84
ORD-100003,2023-11-18,2023-11-25,CUST-2351,Priya Rao,29.0,Female,Home Office,Central,Madhya Pradesh,Technology,Copiers,Compact Copier,3457.37,6,0.0,987.45
ORD-100004,2022-07-26,2022-07-28,CUST-2351,Priya Rao,29.0,Female,Corporate,East,Bihar,Technology,Machines,3D Printer Mini,725.57,2,0.0,195.14
ORD-100005,2022-07-26,2022-07-29,CUST-2583,Rahul Iyer,27.0,Male,Consumer,Central,Chhattisgarh,Technology,Copiers,Office Copier 200,1004.59,2,0.15,281.2
ORD-100006,2022-03-22,2022-03-23,CUST-3525,Manish Reddy,28.0,Male,Home Office,West,Gujarat,Technology,Phones,Cordless Landline,1000.72,3,0.0,253.59
ORD-100007,2024-09-18,2024-09-22,CUST-2351,Priya Rao,26.0,Female,Consumer,South,Tamil Nadu,Furniture,Tables,Round Side Table,1901.07,6,0.3,37.55
ORD-100008,2023-11-20,2023-11-23,CUST-8975,Karan Mehta,46.0,Male,Corporate,West,Rajasthan,Office Supplies,Art,Marker Set,157.6,3,0.4,-26.31
ORD-100009,2024-02-29,2024-03-07,CUST-5776,Priya Nair,18.0,Female,Consumer,West,Gujarat,Furniture,Tables,Glass Coffee Table,525.36,3,0.0,169.03
ORD-100010,2022-01-29,2022-02-02,CUST-9159,Kavita Iyer,34.0,Female,Consumer,West,Gujarat,Technology,Copiers,Compact Copier,3689.71,5,0.1,1244.16
ORD-100011,2024-12-13,2024-12-17,CUST-8408,Neha Kapoor,36.0,Female,Home Office,West,Maharashtra,Office Supplies,Binders,3-Ring Binder,98.9,6,0.0,40.13
ORD-100012,2024-08-07,2024-08-11,CUST-7533,Sanjay Reddy,18.0,Male,Consumer,South,Kerala,Technology,Machines,Laser Printer,3365.23,6,0.0,1267.93
ORD-100013,2022-10-03,2022-10-04,CUST-8836,Manish Kapoor,45.0,Male,Home Office,Central,Chhattisgarh,Office Supplies,Storage,Desk Organizer,225.67,7,0.1,70.85
ORD-100014,2022-08-28,2022-09-02,CUST-3525,Manish Reddy,26.0,Male,Home Office,East,Odisha,Technology,Accessories,Mechanical Keyboard,4686.97,7,0.0,1077.36
ORD-100015,2022-08-30,2022-09-06,CUST-5237,Manish Iyer,51.0,Male,Consumer,South,Tamil Nadu,Office Supplies,Paper,Sticky Notes Pack,18.78,3,0.1,4.58
ORD-100016,2022-12-14,2022-12-17,CUST-3203,Priya Nair,39.0,Female,Home Office,South,Tamil Nadu,Office Supplies,Storage,Storage Box Set,76.89,1,0.15,8.28
ORD-100017,2023-09-09,2023-09-11,CUST-7194,Anjali Mehta,27.0,Female,Home Office,Central,Chhattisgarh,Furniture,Tables,Oak Dining Table,508.1,6,0.0,163.93
ORD-100018,2023-05-13,2023-05-18,CUST-3525,Manish Reddy,25.0,Male,Consumer,East,Odisha,Office Supplies,Envelopes,Window Envelopes,272.82,7,0.0,114.48
ORD-100019,2022-12-06,2022-12-13,CUST-4099,Isha Mehta,47.0,Female,Consumer,West,Maharashtra,Office Supplies,Labels,Address Labels,167.75,3,0.0,40.82
ORD-100020,2023-11-28,2023-11-29,CUST-8666,Priya Rao,36.0,Female,Consumer,West,Gujarat,Technology,Accessories,Webcam HD,2986.36,4,0.15,344.96
ORD-100021,2022-07-03,2022-07-07,CUST-6949,Sanjay Reddy,28.0,Male,Corporate,South,Telangana,Technology,Phones,Cordless Landline,784.66,7,0.0,184.73
ORD-100022,2022-12-07,2022-12-09,CUST-4322,Karan Verma,43.0,Male,Consumer,North,Haryana,Office Supplies,Paper,Notebook Set,189.42,6,0.1,35.38
